City,Year,Event,Sex,Event_sex,G,S,B,WR at time,medal_avg_time,avg_full_field_3or5,avg_full_field_all_and_medalists,diff_medals_full_field,diff_wr_medals,diff_wr_full_field
100 meters,female,100 Meter Women,11.9,12.2,12.2,,12.10,12.33,12.22,0.23,,,,
100 meters,female,100 Meter Women,11.5,11.8,11.9,,11.73,11.97,11.85,0.23,,,,
100 meters,female,100 Meter Women,11.5,11.7,11.7,,11.63,11.90,11.77,0.27,,,,
100 meters,female,100 Meter Women,11,11.3,11.3,,11.20,11.50,11.35,0.30,,,,
100 meters,female,100 Meter Women,11.4,11.6,11.6,,11.53,11.74,11.66,0.21,,,,
100 meters,female,100 Meter Women,11,11.1,11.1,,11.07,11.38,11.26,0.31,,,,
100 meters,female,100 Meter Women,10.07,11.23,11.24,,10.85,11.61,11.32,0.76,,,,
100 meters,female,100 Meter Women,11.08,11.13,11.17,,11.13,11.29,11.23,0.16,,,,
100 meters,female,100 Meter Women,11.06,11.07,11.14,10.88,11.09,11.25,11.19,0.16,0.21,0.37,0.35,0.50
100 meters,female,100 Meter Women,10.97,11.13,11.16,10.79,11.09,11.42,11.29,0.33,0.30,0.63,0.20,0.37
100 meters,female,100 Meter Women,10.54,10.83,10.85,10.49,10.74,11.14,10.99,0.40,0.25,0.65,0.04,0.71
100 meters,female,100 Meter Women,10.82,10.83,10.84,10.49,10.83,11.04,10.96,0.21,0.34,0.55,0.15,0.30
100 meters,female,100 Meter Women,10.94,10.94,10.96,10.49,10.95,11.09,11.03,0.14,0.46,0.60,0.27,0.45
100 meters,female,100 Meter Women,11.12,11.18,11.19,10.49,11.16,11.23,11.20,0.07,0.67,0.74,0.18,0.33
100 meters,female,100 Meter Women,10.93,10.96,10.97,10.49,10.95,11.09,11.04,0.14,0.46,0.60,0.07,0.19
100 meters,female,100 Meter Women,10.78,10.98,11.98,10.49,11.25,11.13,11.17,-0.12,0.76,0.64,0.11,0.26
100 meters,female,100 Meter Women,10.75,10.78,10.81,10.49,10.78,10.94,10.88,0.16,0.29,0.45,0.14,0.74
100 meters,female,100 Meter Women,10.71,10.83,10.86,10.49,10.80,11.08,10.98,0.28,0.31,0.59,0.29,0.41
