Sport,Sex,City,Year,G,S,B,avg_medalists,baseline_medalists
Discus,Female,Rome,1960,55.1,52.59,52.36,53.35,37.54
Discus,Female,Tokyo,1964,57.27,57.21,56.97,57.15,37.54
Discus,Female,Mexico City,1968,58.28,57.76,54.9,56.98,37.54
Discus,Female,Munich,1972,66.62,65.06,64.34,65.34,37.54
Discus,Female,Montreal,1976,69,67.3,66.84,67.71,37.54
Discus,Female,Moscow,1980,69.96,67.9,67.4,68.42,37.54
Discus,Female,Los Angeles,1984,65.36,64.86,63.64,64.62,37.54
Discus,Female,Seoul,1988,72.3,71.88,69.74,71.31,37.54
Discus,Female,Barcelona,1992,70.06,67.78,66.24,68.03,37.54
Discus,Female,Atlanta,1996,69.66,66.48,65.64,67.26,37.54
Discus,Female,Sydney,2000,68.4,65.71,65.2,66.44,37.54
Discus,Female,Athens,2004,67.02,66.68,66.08,66.59,37.54
Discus,Female,Beijing,2008,64.74,62.59,62.2,63.18,37.54
Discus,Female,London,2012,69.11,67.22,66.38,67.57,37.54
Discus,Female,Rio,2016,69.21,66.73,65.34,67.09,37.54
